"Chinese","Traditional","Pinyin","Definition","Result"
"第","","dì ","(prefix indicating ordinal number, e.g. first, number two etc)  / order  / (old) rank in the imperial examinations  / mansion  / (literary) but  / just","True"
"参","參","cān <br />shēn ","to take part in  / to participate  / to join  / to attend  / to counsel  / unequal  / varied  / irregular  / uneven  / not uniform  / abbr. for 參議院｜参议院 Senate, Upper House<br />ginseng  / one of the 28 constellations","True"
"网球","網球","wǎng qiú ","tennis  / tennis ball  / CL: 個｜个","True"
"排球","","pái qiú ","volleyball  / CL: 個｜个","True"
"加油","","jiā yóu ","to add oil  / to top up with gas  / to refuel  / to accelerate  / to step on the gas  / (fig.) to make an extra effort  / to cheer sb on","True"
"排","","pái ","a row  / a line  / to set in order  / to arrange  / to line up  / to eliminate  / to drain  / to push open  / platoon  / raft  / classifier for lines, rows etc","True"
"油","","yóu ","oil  / fat  / grease  / petroleum  / to apply tung oil, paint or varnish  / oily  / greasy  / glib  / cunning","True"
"输","輸","shū ","to lose  / to transport  / to donate  / to enter (a password)","True"
"赢","贏","yíng ","to beat  / to win  / to profit","True"
"失望","","shī wàng ","disappointed  / to lose hope  / to despair","True"
"信心","","xìn xīn ","confidence  / faith (in sb or sth)  / CL: 個｜个","True"
"失","","shī ","to lose  / to miss  / to fail","True"
"心","","xīn ","heart  / mind  / intention  / center  / core  / CL: 顆｜颗, 個｜个","True"
"同","仝","tóng <br />tóng <br />tòng ","(used in given names)  / variant of 同<br />like  / same  / similar  / together  / alike  / with<br />see 衚衕｜胡同","True"
"课","課","kè ","subject  / course  / CL: 門｜门 / class  / lesson  / CL: 堂, 節｜节 / to levy  / tax  / form of divination","True"
"教","","Jiào <br />jiāo <br />jiào ","surname Jiao<br />to teach<br />religion  / teaching  / to make  / to cause  / to tell","True"
"教室","","jiào shì ","classroom  / CL: 間｜间","True"
"同学","同學","tóng xué ","to study at the same school  / fellow student  / classmate  / CL: 位, 個｜个","True"
"地理","","dì lǐ ","geography","True"
"理","","lǐ ","texture  / grain (of wood)  / inner essence  / intrinsic order  / reason  / logic  / truth  / science  / natural science (esp. physics)  / to manage  / to pay attention to  / to run (affairs)  / to handle  / to put in order  / to tidy up","True"
"懂","","dǒng ","to understand  / to comprehend","True"
"问题","問題","wèn tí ","question  / problem  / issue  / topic  / CL: 個｜个","True"
"笔","筆","bǐ ","pen  / pencil  / writing brush  / to write or compose  / the strokes of Chinese characters  / classifier for sums of money, deals  / CL: 支, 枝","True"
"题","題","Tí <br />tí ","surname Ti<br />topic  / problem for discussion  / exam question  / subject  / to inscribe  / to mention  / CL: 個｜个, 道","True"
"美术","美術","měi shù ","art  / fine arts  / painting  / CL: 種｜种","True"
"术","術","shù <br />zhú ","method  / technique<br />various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea","True"
"考试","考試","kǎo shì ","to take an exam  / exam  / CL: 次","True"
"准备","準備","zhǔn bèi ","preparation  / to prepare  / to intend  / to be about to  / reserve (fund)","True"
"考","攷","kǎo <br />kǎo ","to beat  / to hit  / variant of 考 / to inspect  / to test  / to take an exam<br />to check  / to verify  / to test  / to examine  / to take an exam  / to take an entrance exam for  / deceased father","True"
"备","備","bèi ","to prepare  / get ready  / to provide or equip","True"
"科学","科學","kē xué ","science  / scientific knowledge  / scientific  / rational  / CL: 門｜门, 個｜个, 種｜种","True"
"科","","kē ","branch of study  / administrative section  / division  / field  / branch  / stage directions  / family (taxonomy)  / rules  / laws  / to mete out (punishment)  / to levy (taxes etc)  / to fine sb  / CL: 個｜个","True"
"下课","下課","xià kè ","to finish class  / to get out of class","True"
"爷爷","爺爺","yé ye ","(coll.) father's father  / paternal grandfather  / CL: 個｜个","True"
"奶奶","","nǎi nai ","(informal) grandma (paternal grandmother)  / (respectful) mistress of the house  / CL: 位 / (coll.) boobies  / breasts","True"
"阿姨","","ā yí ","maternal aunt  / step-mother  / childcare worker  / nursemaid  / woman of similar age to one's parents (term of address used by child)  / CL: 個｜个","True"
"爷","爺","yé ","grandpa  / old gentleman","True"
"阿","","Ā <br />ā <br />ē ","abbr. for Afghanistan 阿富汗<br />prefix used before monosyllabic names, kinship terms etc to indicate familiarity  / used in transliteration  / also pr. [a4]<br />flatter","True"
"姨","","yí ","mother's sister  / aunt","True"
"兄弟姐妹","","xiōng dì jiě mèi","Brothers and Sisters","False"
"关系","關係","guān xi ","relation  / relationship  / to concern  / to affect  / to have to do with  / guanxi  / CL: 個｜个","True"
"叔叔","","shū shu ","father's younger brother  / uncle  / Taiwan pr. [shu2 shu5]  / CL: 個｜个","True"
"父母","","fù mǔ ","father and mother  / parents","True"
"兄","","xiōng ","elder brother","True"
"叔","","shū ","uncle  / father's younger brother  / husband's younger brother  / Taiwan pr. [shu2]","True"
"父","","fù ","father","True"
"母","","mǔ ","mother  / elderly female relative  / origin  / source  / (of animals) female","True"
"像","","xiàng ","to resemble  / to be like  / to look as if  / such as  / appearance  / image  / portrait  / image under a mapping (math.)","True"
"一样","一樣","yī yàng ","same  / like  / equal to  / the same as  / just like","True"
"亲戚","親戚","qīn qi ","a relative (i.e. family relation)  / CL: 門｜门, 個｜个, 位","True"
"戚","","Qī <br />qī ","surname Qi<br />relative  / parent  / grief  / sorrow  / battle-axe","True"
"亲","親","qīn <br />qìng ","parent  / one's own (flesh and blood)  / relative  / related  / marriage  / bride  / close  / intimate  / in person  / first-hand  / in favor of  / pro-  / to kiss  / (Internet slang) dear<br />parents-in-law of one's offspring","True"
"拉面","拉麵","lā miàn ","pulled noodles  / ramen","True"
"点心","點心","diǎn xin ","light refreshments  / pastry  / dimsum (in Cantonese cooking)  / dessert","True"
"小笼包","小籠包","xiǎo lóng bāo ","steamed dumpling","True"
"拉","","lā ","to pull  / to play (a bowed instrument)  / to drag  / to draw  / to chat","True"
"笼","籠","lóng <br />lǒng ","enclosing frame made of bamboo, wire etc  / cage  / basket  / steamer basket  / to cover  / to cage  / to embrace  / to manipulate through trickery<br />to cover  / to cage  / covering  / also pr. [long2]","True"
"粥","","yù <br />zhōu ","see 葷粥｜荤粥<br />congee  / gruel  / porridge  / CL: 碗","True"
"油条","油條","yóu tiáo ","youtiao (deep-fried breadstick)  / CL: 根 / slick and sly person","True"
"豆浆","豆漿","dòu jiāng ","soy milk","True"
"豆","","dòu ","bean  / pea  / CL: 棵, 粒 / sacrificial vessel","True"
"浆","漿","jiāng <br />jiàng ","broth  / serum  / to starch<br />starch paste","True"
"火锅","火鍋","huǒ guō ","hotpot","True"
"包子","","bāo zi ","steamed stuffed bun  / CL: 個｜个","True"
"炒饭","炒飯","chǎo fàn ","fried rice  / (slang) (Tw) to have sex","True"
"锅","鍋","guō ","pot  / pan  / boiler  / CL: 口, 隻｜只","True"
"炒","","chǎo ","to sauté  / to stir-fry  / to speculate  / to hype  / to fire (sb)","True"
"夏","","Xià <br />xià ","the Xia or Hsia dynasty c. 2000 BC  / Xia of the Sixteen Kingdoms (407-432)  / surname Xia<br />summer","True"
"冬","","dōng <br />Dōng <br />dōng ","winter<br />surname Dong<br />(onom.) beating a drum  / rat-a-tat","True"
"秋","","Qiū <br />qiū <br />qiū ","surname Qiu<br />autumn  / fall  / harvest time<br />see 鞦韆｜秋千","True"
"季","","Jì <br />jì ","surname Ji<br />season  / the last month of a season  / fourth or youngest amongst brothers  / classifier for seasonal crop yields","True"
"澳","","Ào <br />ào ","abbr. for Macao 澳門｜澳门 / abbr. for Australia 澳大利亞｜澳大利亚<br />deep bay  / cove  / harbor","True"
"亚","亞","yà ","Asia  / Asian  / second  / next to  / inferior  / sub-  / Taiwan pr. [ya3]","True"
"季节","季節","jì jié ","time  / season  / period  / CL: 個｜个","True"
"澳大利亚","澳大利亞","Ào dà lì yà ","Australia","True"
"越来越","越來越","yuè lái yuè ","more and more","True"
"前天","","qián tiān ","the day before yesterday","True"
"后天","後天","hòu tiān ","the day after tomorrow  / acquired (not innate)  / a posteriori","True"
"堵车","堵車","dǔ chē ","traffic jam  / choking","True"
"大概","","dà gài ","roughly  / probably  / rough  / approximate  / about  / general idea","True"
"准时","準時","zhǔn shí ","on time  / punctual  / on schedule","True"
"刚","剛","gāng ","hard  / firm  / strong  / just  / barely  / exactly","True"
"堵","","dǔ ","to stop up  / (to feel) stifled or suffocated  / wall  / classifier for walls","True"
"概","","gài ","general  / approximate","True"
"城","","chéng ","city walls  / city  / town  / CL: 座, 道, 個｜个","True"
"附","","fù ","to add  / to attach  / to be close to  / to be attached","True"
"园","園","Yuán <br />yuán ","surname Yuan<br />land used for growing plants  / site used for public recreation","True"
"城市","","chéng shì ","city  / town  / CL: 座","True"
"附近","","fù jìn ","(in the) vicinity  / nearby  / neighboring  / next to","True"
"公园","公園","gōng yuán ","park (for public recreation)  / CL: 個｜个, 座","True"
"图","圖","tú ","diagram  / picture  / drawing  / chart  / map  / CL: 張｜张 / to plan  / to scheme  / to attempt  / to pursue  / to seek","True"
"方","","Fāng <br />fāng ","surname Fang<br />square  / power or involution (mathematics)  / upright  / honest  / fair and square  / direction  / side  / party (to a contract, dispute etc)  / place  / method  / prescription (medicine)  / just when  / only or just  / classifier for square things  / abbr. for square or cubic meter","True"
"中间","中間","zhōng jiān ","between  / intermediate  / mid  / middle","True"
"图书馆","圖書館","tú shū guǎn ","library  / CL: 家, 個｜个","True"
"地方","","dì fāng <br />dì fang ","region  / regional (away from the central administration)  / local<br />area  / place  / space  / room  / territory  / CL: 處｜处, 個｜个, 塊｜块","True"
"上面","","shàng miàn ","on top of  / above-mentioned  / also pr. [shang4 mian5]","True"
"下面","","xià miàn <br />xià miàn ","below  / under  / next  / the following  / also pr. [xia4 mian5]<br />to boil noodles","True"
"咖啡馆","咖啡館","kā fēi guǎn ","café  / coffee shop  / CL: 家","True"
"折","","shé <br />zhē <br />zhé ","to break (e.g. stick or bone)  / a loss<br />to turn sth over  / to turn upside down  / to tip sth out (of a container)<br />to break  / to fracture  / to snap  / to suffer loss  / to bend  / to twist  / to turn  / to change direction  / convinced  / to convert into (currency)  / discount  / rebate  / tenth (in price)  / classifier for theatrical scenes  / to fold  / accounts book","True"
"角","","Jué <br />jiǎo <br />jué ","surname Jue<br />angle  / corner  / horn  / horn-shaped  / unit of money equal to 0.1 yuan  / CL: 個｜个<br />role (theater)  / to compete  / ancient three legged wine vessel  / third note of pentatonic scale","True"
"花","","Huā <br />huā ","surname Hua<br />flower  / blossom  / CL: 朵, 支, 束, 把, 盆, 簇 / fancy pattern  / florid  / to spend (money, time)","True"
"打折","","dǎ zhé ","to give a discount","True"
"旧","舊","jiù ","old  / opposite: new 新 / former  / worn (with age)","True"
"皮","","Pí <br />pí ","surname Pi<br />leather  / skin  / fur  / CL: 張｜张 / pico- (one trillionth)  / naughty","True"
"换","換","huàn ","to exchange  / to change (clothes etc)  / to substitute  / to switch  / to convert (currency)","True"
"皮鞋","","pí xié ","leather shoes","True"
"经过","經過","jīng guò ","to pass  / to go through  / process  / course  / CL: 個｜个","True"
"退货","退貨","tuì huò ","to return merchandise  / to withdraw a product","True"
"退款","","tuì kuǎn ","to refund  / refund","True"
"退","","tuì ","to retreat  / to decline  / to move back  / to withdraw","True"
"货","貨","huò ","goods  / money  / commodity  / CL: 個｜个","True"
"款","","kuǎn ","section  / paragraph  / funds  / CL: 筆｜笔, 個｜个 / classifier for versions or models (of a product)","True"
"袋子","","dài zi ","bag","True"
"惯","慣","guàn ","accustomed to  / used to  / indulge  / to spoil (a child)","True"
"刷","","shuā <br />shuà ","to brush  / to paint  / to daub  / to paste up  / to skip class (of students)  / to fire from a job<br />to select","True"
"习惯","習慣","xí guàn ","habit  / custom  / usual practice  / to be used to  / CL: 個｜个","True"
"刷牙","","shuā yá ","to brush one's teeth","True"
"马上","馬上","mǎ shàng ","at once  / right away  / immediately  / on horseback (i.e. by military force)","True"
"以后","以後","yǐ hòu ","after  / later  / afterwards  / following  / later on  / in the future","True"
"澡","","zǎo ","bath","True"
"总","總","zǒng ","always  / to assemble  / gather  / total  / overall  / head  / chief  / general  / in every case","True"
"洗澡","","xǐ zǎo ","to bathe  / to take a shower","True"
"一边","一邊","yī biān ","one side  / either side  / on the one hand  / on the other hand  / doing while","True"
"总是","總是","zǒng shì ","always","True"
"讲","講","jiǎng ","to speak  / to explain  / to negotiate  / to emphasise  / to be particular about  / as far as sth is concerned  / speech  / lecture","True"
"故","","gù ","happening  / instance  / reason  / cause  / intentional  / former  / old  / friend  / therefore  / hence  / (of people) to die, dead","True"
"故事","","gù shì <br />gù shi ","old practice  / CL: 個｜个<br />narrative  / story  / tale","True"
"以前","","yǐ qián ","before  / formerly  / previous  / ago","True"
"做梦","做夢","zuò mèng ","to dream  / to have a dream  / fig. illusion  / fantasy  / pipe dream","True"
"梦","夢","mèng ","dream  / CL: 場｜场, 個｜个","True"
"除","","chú ","to get rid of  / to remove  / to exclude  / to eliminate  / to wipe out  / to divide  / except  / not including","True"
"其","","qí ","his  / her  / its  / their  / that  / such  / it (refers to sth preceding it)","True"
"饺","餃","jiǎo ","dumplings with meat filling","True"
"北方","","běi fāng ","north  / the northern part a country  / China north of the Yellow River","True"
"除了","","chú le ","besides  / apart from (... also...)  / in addition to  / except (for)","True"
"其他","","qí tā ","other  / (sth or sb) else  / the rest","True"
"饺子","餃子","jiǎo zi ","dumpling  / pot-sticker  / CL: 個｜个, 隻｜只","True"
"辣","","là ","hot (spicy)  / pungent","True"
"极","極","jí ","extremely  / pole (geography, physics)  / utmost  / top","True"
"苦","","kǔ ","bitter  / hardship  / pain  / to suffer  / to bring suffering to  / painstakingly","True"
"盐","鹽","yán ","salt  / CL: 粒","True"
"咸","","Xián <br />xián <br />xián ","surname Xian<br />all  / everyone  / each  / widespread  / harmonious<br />salted  / salty  / stingy  / miserly","True"
"南","","Nán <br />nán ","surname Nan<br />south","True"
"南方","","nán fāng ","south  / the southern part of the country  / the South","True"
"难吃","難吃","nán chī ","unpalatable","True"
"级","級","jí ","level  / grade  / rank  / step (of stairs)  / CL: 個｜个 / classifier: step, level","True"
"个子","個子","gè zi ","height  / stature  / build  / size","True"
"年级","年級","nián jí ","grade  / year (in school, college etc)  / CL: 個｜个","True"
"小学","小學","xiǎo xué ","elementary school  / primary school  / CL: 個｜个","True"
"初中","","chū zhōng ","junior high school  / abbr. for 初級中學｜初级中学","True"
"初","","chū ","at first  / (at the) beginning  / first  / junior  / basic","True"
"较","較","jiào ","to compare  / to dispute  / compared to  / (before adj.) relatively  / comparatively  / rather  / also pr. [jiao3]","True"
"年轻","年輕","nián qīng ","young","True"
"比较","比較","bǐ jiào ","to compare  / to contrast  / comparatively  / relatively  / quite  / comparison","True"
"眼镜","眼鏡","yǎn jìng ","spectacles  / eyeglasses  / CL: 副","True"
"戴","","Dài <br />dài ","surname Dai<br />to put on or wear (glasses, hat, gloves etc)  / to respect  / to bear  / to support","True"
"镜","鏡","jìng ","mirror  / lens","True"
"先","","xiān ","early  / prior  / former  / in advance  / first","True"
"然后","然後","rán hòu ","after  / then (afterwards)  / after that  / afterwards","True"
"西边","西邊","xī biān ","west  / west side  / western part  / to the west of","True"
"东边","東邊","dōng bian ","east  / east side  / eastern part  / to the east of","True"
"北边","北邊","běi biān ","north  / north side  / northern part  / to the north of","True"
"一直","","yī zhí ","straight (in a straight line)  / continuously  / always  / from the beginning of ... up to ...  / all along","True"
"最后","最後","zuì hòu ","final  / last  / finally  / ultimate","True"
"南边","南邊","nán bian ","south  / south side  / southern part  / to the south of","True"
"直","","Zhí <br />zhí ","surname Zhi  / Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝 descended from Shennong 神農｜神农 Farmer God<br />straight  / to straighten  / fair and reasonable  / frank  / straightforward  / (indicates continuing motion or action)  / vertical  / vertical downward stroke in Chinese characters","True"
"迷路","","mí lù ","to lose the way  / lost  / labyrinth  / labyrinthus vestibularis (of the inner ear)","True"
"地址","","dì zhǐ ","address  / CL: 個｜个","True"
"周围","周圍","zhōu wéi ","surroundings  / environment  / to encompass","True"
"迷","","mí ","to bewilder  / crazy about  / fan  / enthusiast  / lost  / confused","True"
"址","","zhǐ ","location  / site","True"
"围","圍","Wéi <br />wéi ","surname Wei<br />to encircle  / to surround  / all around  / to wear by wrapping around (scarf, shawl)","True"
"般","","bān <br />pán ","sort  / kind  / class  / way  / manner<br />see 般樂｜般乐","True"
"聊","","liáo ","to chat  / to depend upon (literary)  / temporarily  / just  / slightly","True"
"聊天","","liáo tiān ","to chat  / to gossip","True"
"一般","","yī bān ","same  / ordinary  / so-so  / common  / general  / generally  / in general","True"
"见面","見面","jiàn miàn ","to meet  / to see each other  / CL: 次","True"
"自己","","zì jǐ ","oneself  / one's own","True"
"一个人","一個人","yī gè rén ","by oneself (without assistance)  / alone (without company)","True"
"自","","zì ","self  / oneself  / from  / since  / naturally  / surely","True"
"己","","jǐ ","self  / oneself  / sixth of the ten Heavenly Stems 十天干 / sixth in order  / letter ""F"" or roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc  / hexa","True"
"证","証","zhèng <br />zhèng ","to admonish  / variant of 證｜证<br />certificate  / proof  / to prove  / to demonstrate  / to confirm  / variant of 症","True"
"签","簽","qiān <br />qiān ","to sign one's name  / visa  / variant of 籤｜签<br />inscribed bamboo stick (used in divination, gambling, drawing lots etc)  / small wood sliver  / label  / tag","True"
"护","護","hù ","to protect","True"
"护照","護照","hù zhào ","passport  / CL: 本, 個｜个","True"
"签证","簽證","qiān zhèng ","visa  / certificate  / to certify  / CL: 個｜个","True"
"发现","發現","fā xiàn ","to find  / to discover","True"
"起飞","起飛","qǐ fēi ","(of an aircraft) to take off","True"
"离开","離開","lí kāi ","to depart  / to leave","True"
"检查","檢查","jiǎn chá ","inspection  / to examine  / to inspect  / CL: 次","True"
"行李","","xíng li ","luggage  / CL: 件","True"
"安全","","ān quán ","safe  / secure  / safety  / security","True"
"检","檢","jiǎn ","to check  / to examine  / to inspect  / to exercise restraint","True"
"查","","Zhā <br />chá <br />zhā ","surname Zha<br />to research  / to check  / to investigate  / to examine  / to refer to  / to look up (e.g. a word in a dictionary)<br />see 山查","True"
"几乎","幾乎","jī hū ","almost  / nearly  / practically","True"
"忘记","忘記","wàng jì ","to forget","True"
"海关","海關","hǎi guān ","customs (i.e. border crossing inspection)  / CL: 個｜个","True"
"忘","","wàng ","to forget  / to overlook  / to neglect","True"
"记","記","jì ","to record  / to note  / to memorize  / to remember  / mark  / sign  / classifier for blows, kicks, shots","True"
"乎","","hū ","(classical particle similar to 於｜于) in  / at  / from  / because  / than  / (classical final particle similar to 嗎｜吗, 吧, 呢, expressing question, doubt or astonishment)","True"
"言","","yán ","words  / speech  / to say  / to talk","True"
"易","","Yì <br />yì ","surname Yi  / abbr. for 易經｜易经, the Book of Changes<br />easy  / amiable  / to change  / to exchange","True"
"容","","Róng <br />róng ","surname Rong<br />to hold  / to contain  / to allow  / to tolerate  / appearance  / look  / countenance","True"
"种","種","zhǒng <br />zhòng ","seed  / species  / kind  / type  / classifier for types, kinds, sorts<br />to plant  / to grow  / to cultivate","True"
"容易","","róng yì ","easy  / likely  / liable (to)","True"
"语言","語言","yǔ yán ","language  / CL: 門｜门, 種｜种","True"
"更","","gēng <br />gèng ","to change or replace  / to experience  / one of the five two-hour periods into which the night was formerly divided  / watch (e.g. of a sentry or guard)<br />more  / even more  / further  / still  / still more","True"
"努力","","nǔ lì ","great effort  / to strive  / to try hard","True"
"汉字","漢字","hàn zì ","Chinese character  / CL: 個｜个 / Japanese: kanji  / Korean: hanja  / Vietnamese: hán tự","True"
"努","","nǔ ","to exert  / to strive","True"
"提高","","tí gāo ","to raise  / to increase  / to improve","True"
"水平","","shuǐ píng ","level (of achievement etc)  / standard  / horizontal","True"
"后来","後來","hòu lái ","afterwards  / later","True"
"提","","tí ","to carry (hanging down from the hand)  / to lift  / to put forward  / to mention  / to raise (an issue)  / upwards character stroke  / lifting brush stroke (in painting)  / scoop for measuring liquid","True"
"平","","Píng <br />píng ","surname Ping<br />flat  / level  / equal  / to tie (make the same score)  / to draw (score)  / calm  / peaceful  / see also 平聲｜平声","True"
"看起来","看起來","kàn qǐ lai ","seemingly  / apparently  / looks as if  / appear to be  / gives the impression that  / seems on the face of it to be","True"
"奇怪","","qí guài ","strange  / odd  / to marvel  / to be baffled","True"
"生气","生氣","shēng qì ","to get angry  / to take offense  / angry  / vitality  / liveliness","True"
"紧张","緊張","jǐn zhāng ","nervous  / keyed up  / intense  / tense  / strained  / in short supply  / scarce  / CL: 陣｜阵","True"
"奇","","jī <br />qí ","odd (number)<br />strange  / odd  / weird  / wonderful  / surprisingly  / unusually","True"
"怪","","guài ","bewildering  / odd  / strange  / uncanny  / devil  / monster  / to wonder at  / to blame  / quite  / rather","True"
"紧","緊","jǐn ","tight  / strict  / close at hand  / near  / urgent  / tense  / hard up  / short of money  / to tighten","True"
"难过","難過","nán guò ","to feel sad  / to feel unwell  / (of life) to be difficult","True"
"哭","","kū ","to cry  / to weep","True"
"可怕","","kě pà ","awful  / dreadful  / fearful  / formidable  / frightful  / scary  / hideous  / horrible  / terrible  / terribly","True"
"热情","熱情","rè qíng ","cordial  / enthusiastic  / passion  / passionate  / passionately","True"
"关心","關心","guān xīn ","to be concerned about  / to care about","True"
"经常","經常","jīng cháng ","frequently  / constantly  / regularly  / often  / day-to-day  / everyday  / daily","True"
"遇到","","yù dào ","to meet  / to run into  / to come across","True"
"好笑","","hǎo xiào ","laughable  / funny  / ridiculous","True"
"遇","","Yù <br />yù ","surname Yu<br />to meet  / to encounter  / to treat  / to receive  / opportunity  / chance","True"
"求","","qiú ","to seek  / to look for  / to request  / to demand  / to beseech","True"
"校长","校長","xiào zhǎng ","(college, university) president  / headmaster  / CL: 個｜个, 位, 名","True"
"要求","","yāo qiú ","to request  / to require  / requirement  / to stake a claim  / to ask  / to demand  / CL: 點｜点","True"
"食堂","","shí táng ","dining hall  / CL: 個｜个, 間｜间","True"
"食","","shí <br />sì ","to eat  / food  / animal feed  / eclipse<br />to feed","True"
"堂","","táng ","(main) hall  / large room for a specific purpose  / CL: 間｜间 / relationship between cousins etc on the paternal side of a family  / of the same clan  / classifier for classes, lectures etc  / classifier for sets of furniture","True"
"必须","必須","bì xū ","to have to  / must  / compulsory  / necessarily","True"
"完成","","wán chéng ","to complete  / to accomplish","True"
"作业","作業","zuò yè ","school assignment  / homework  / work  / task  / operation  / CL: 個｜个 / to operate","True"
"高中","","gāo zhōng <br />gāo zhòng ","senior high school  / abbr. for 高級中學｜高级中学<br />to pass brilliantly (used in congratulatory fashion)","True"
"必","","bì ","certainly  / must  / will  / necessarily","True"
"成","","Chéng <br />chéng ","surname Cheng<br />to succeed  / to finish  / to complete  / to accomplish  / to become  / to turn into  / to be all right  / OK!  / one tenth","True"
"须","須","xū <br />xū ","must  / to have to  / to wait<br />beard  / mustache  / feeler (of an insect etc)  / tassel","True"
"业","業","Yè <br />yè ","surname Ye<br />line of business  / industry  / occupation  / job  / employment  / school studies  / enterprise  / property  / (Buddhism) karma  / deed  / to engage in  / already","True"
"向","","Xiàng <br />xiàng <br />xiàng ","surname Xiang<br />towards  / to face  / to turn towards  / direction  / to support  / to side with  / shortly before  / formerly  / always  / all along<br />to tend toward  / to guide  / variant of 向","True"
"借","","jiè ","to lend  / to borrow  / by means of  / to take (an opportunity)","True"
"笔记","筆記","bǐ jì ","to take down (in writing)  / notes  / a type of literature consisting mainly of short sketches  / CL: 本","True"
"铅笔","鉛筆","qiān bǐ ","(lead) pencil  / CL: 支, 枝, 桿｜杆","True"
"铅","鉛","qiān ","lead (chemistry)","True"
"清楚","","qīng chu ","clear  / distinct  / to understand thoroughly  / to be clear about","True"
"黑板","","hēi bǎn ","blackboard  / CL: 塊｜块, 個｜个","True"
"笔记本","筆記本","bǐ jì běn ","notebook (stationery)  / CL: 本 / notebook (computing)","True"
"清","","Qīng <br />qīng ","Qing or Ch'ing dynasty of Imperial China (1644-1911)  / surname Qing<br />clear  / distinct  / quiet  / just and honest  / pure  / to settle or clear up  / to clean up or purge","True"
"楚","","Chǔ <br />chǔ ","surname Chu  / abbr. for Hubei 湖北省 and Hunan 湖南省 provinces together  / Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC)<br />distinct  / clear  / orderly  / pain  / suffering  / deciduous bush used in Chinese medicine (genus Vitex)  / punishment cane (old)","True"
"板","","bǎn <br />bǎn <br />pàn ","board  / plank  / plate  / shutter  / table tennis bat  / clappers (music)  / CL: 塊｜块 / accented beat in Chinese music  / hard  / stiff  / to stop smiling or look serious<br />see 老闆｜老板, boss<br />to catch sight of in a doorway (old)","True"
"体育馆","體育館","tǐ yù guǎn ","gym  / gymnasium  / stadium  / CL: 個｜个","True"
"化","","huà ","to make into  / to change into  / -ization  / to ... -ize  / to transform  / abbr. for 化學｜化学","True"
"算","","suàn ","to regard as  / to figure  / to calculate  / to compute","True"
"搬","","bān ","to move (i.e. relocate oneself)  / to move (sth relatively heavy or bulky)  / to shift  / to copy indiscriminately","True"
"变","變","biàn ","to change  / to become different  / to transform  / to vary  / rebellion","True"
"打算","","dǎ suàn ","to plan  / to intend  / to calculate  / plan  / intention  / calculation  / CL: 個｜个","True"
"变化","變化","biàn huà ","change  / variation  / to change  / to vary  / CL: 個｜个","True"
"机会","機會","jī huì ","opportunity  / chance  / occasion  / CL: 個｜个","True"
"留学","留學","liú xué ","to study abroad","True"
"国家","國家","guó jiā ","country  / nation  / state  / CL: 個｜个","True"
"选择","選擇","xuǎn zé ","to select  / to pick  / choice  / option  / alternative","True"
"选","選","xuǎn ","to choose  / to pick  / to select  / to elect","True"
"择","擇","zé ","to select  / to choose  / to pick over  / to pick out  / to differentiate  / to eliminate  / also pr. [zhai2]","True"
"结婚","結婚","jié hūn ","to marry  / to get married  / CL: 次","True"
"愿意","願意","yuàn yì ","to wish  / to want  / ready  / willing (to do sth)","True"
"认真","認真","rèn zhēn ","conscientious  / earnest  / serious  / to take seriously  / to take to heart","True"
"结","結","jiē <br />jié ","(of a plant) to produce (fruit or seeds)  / Taiwan pr. [jie2]<br />knot  / sturdy  / bond  / to tie  / to bind  / to check out (of a hotel)","True"
"愿","","yuàn <br />yuàn ","honest  / prudent  / variant of 願｜愿<br />to hope  / to wish  / to desire  / hoped-for  / ready  / willing","True"
"婚","","hūn ","to marry  / marriage  / wedding  / to take a wife","True"
"当然","當然","dāng rán ","only natural  / as it should be  / certainly  / of course  / without doubt","True"
"放心","","fàng xīn ","to feel relieved  / to feel reassured  / to be at ease","True"
"害怕","","hài pà ","to be afraid  / to be scared","True"
"当","噹","dāng <br />dāng <br />dàng ","(onom.) dong  / ding dong (bell)<br />to be  / to act as  / manage  / withstand  / when  / during  / ought  / should  / match equally  / equal  / same  / obstruct  / just at (a time or place)  / on the spot  / right  / just at<br />at or in the very same...  / suitable  / adequate  / fitting  / proper  / to replace  / to regard as  / to think  / to pawn  / (coll.) to fail (a student)","True"
"害","","hài ","to do harm to  / to cause trouble to  / harm  / evil  / calamity","True"
"怕","","Pà <br />pà ","surname Pa<br />to be afraid  / to fear  / to dread  / to be unable to endure  / perhaps","True"
"分手","","fēn shǒu ","to part company  / to split up  / to break up","True"
"境","","jìng ","border  / place  / condition  / boundary  / circumstances  / territory","True"
"环","環","Huán <br />huán ","surname Huan<br />ring  / hoop  / loop  / (chain) link  / classifier for scores in archery etc  / to surround  / to encircle  / to hem in","True"
"层","層","céng ","layer  / stratum  / laminated  / floor (of a building)  / storey  / classifier for layers  / repeated  / sheaf (math.)","True"
"方便","","fāng biàn ","convenient  / suitable  / to facilitate  / to make things easy  / having money to spare  / (euphemism) to relieve oneself","True"
"环境","環境","huán jìng ","environment  / circumstances  / surroundings  / CL: 個｜个 / ambient","True"
